group	t1	t2	winner	date
D	FLY	TES	2	10-3
D	UOL	DRX	2	10-3
B	RGE	PSG	1	10-3
B	DWG	JDG	1	10-3
C	GEN	LGD	1	10-3
C	TSM	FNC	2	10-3
A	MCX	TL	1	10-4
A	G2	SN	1	10-4
B	RGE	DWG	2	10-4
B	PSG	JDG	2	10-4
C	GEN	TSM	1	10-4
C	LGD	FNC	1	10-4
A	MCX	G2	2	10-5
A	TL	SN	2	10-5
B	DWG	PSG	1	10-5
B	JDG	RGE	1	10-5
D	FLY	UOL	1	10-5
D	TES	DRX	1	10-5
A	G2	TL	2	10-6
A	SN	MCX	1	10-6
D	DRX	FLY	1	10-6
D	TES	UOL	1	10-6
C	FNC	GEN	1	10-6
C	TSM	LGD	2	10-6
A	TL	G2	2	10-8
A	MCX	SN	2	10-8
A	G2	MCX	1	10-8
A	SN	TL	2	10-8
A	TL	MCX	1	10-8
A	SN	G2	1	10-8
B	PSG	DWG	2	10-9
B	RGE	JDG	2	10-9
B	DWG	RGE	1	10-9
B	JDG	PSG	2	10-9
B	PSG	RGE	1	10-9
B	JDG	DWG	1	10-9
C	FNC	TSM	1	10-10
C	LGD	GEN	2	10-10
C	TSM	GEN	2	10-10
C	FNC	LGD	1	10-10
C	LGD	TSM	1	10-10
C	GEN	FNC	1	10-10
D	FLY	DRX	2	10-11
D	UOL	TES	2	10-11
D	DRX	UOL	1	10-11
D	TES	FLY	2	10-11
D	UOL	FLY	2	10-11
D	DRX	TES	2	10-11
